time / min	temperature / °C	temperature rate / ( °C/min)
628.683	120.571	0.022
876.665	140.515	0.026
919.444	141.515	0.023
1064.872	150.451	0.028
1107.198	151.451	0.024
1157.645	152.453	0.02
1217.976	153.454	0.017
1340.921	160.691	0.045
1362.194	161.692	0.047
1382.322	162.693	0.05
1401.353	163.693	0.053
1419.034	164.696	0.057
1435.709	165.697	0.06
1505.049	165.347	
1522.401	166.349	0.058
1535.664	167.351	0.076
1547.028	168.354	0.088
1556.822	169.356	0.102
1565.368	170.356	0.117
1572.908	171.358	0.133
1579.691	172.359	0.148
1585.875	173.361	0.162
1591.477	174.361	0.179
1596.701	175.362	0.192
1601.38	176.363	0.214
1605.551	177.363	0.24
1609.704	178.368	0.242
1613.34	179.37	0.276
1616.688	180.371	0.299
1619.687	181.372	0.334
1622.406	182.373	0.368
1624.931	183.375	0.397
1627.332	184.376	0.417
1629.905	185.379	0.39
1632.263	186.384	0.426
1634.388	187.385	0.471
1636.347	188.387	0.511
1638.207	189.387	0.538
1639.965	190.391	0.571
1641.633	191.393	0.6
1643.169	192.397	0.654
1644.594	193.399	0.703
1645.919	194.4	0.756
1647.154	195.405	0.814
1648.35	196.407	0.838
1649.424	197.409	0.933
1650.44	198.413	0.988
1651.389	199.415	1.056
1652.273	200.416	1.133
1653.114	201.419	1.192
1653.902	202.423	1.273
1654.65	203.423	1.338
1655.351	204.426	1.43
1656	205.432	1.55
1656.622	206.435	1.612
1657.226	207.438	1.662
1657.764	208.448	1.877
1658.29	209.454	1.913
1658.768	210.455	2.093
1659.212	211.46	2.264
1659.627	212.46	2.411
1660.033	213.461	2.466
1660.409	214.466	2.673
1660.751	215.47	2.935
1661.082	216.471	3.025
1661.391	217.476	3.252
1661.674	218.477	3.536
1661.947	219.481	3.679
1662.206	220.487	3.884
1662.443	221.49	4.232
1662.668	222.498	4.479
1662.888	223.508	4.591
1663.086	224.513	5.08
1663.279	225.52	5.213
1663.459	226.547	5.707
1663.63	227.553	5.883
1663.792	228.554	6.181
1663.943	229.555	6.626
1664.087	230.563	7
1664.219	231.563	7.579
1664.342	232.568	8.17
1664.465	233.584	8.258
1664.585	234.622	8.65
1664.7	235.64	8.856
1664.802	236.659	9.984
1664.901	237.677	10.281
1664.994	238.687	10.863
1665.084	239.711	11.374
1665.169	240.724	11.927
1665.247	241.751	13.164
1665.322	242.787	13.816
1665.391	243.808	14.796
1665.457	244.836	15.575
1665.517	245.848	16.856
1665.577	246.87	17.04
1665.635	247.942	18.477
1665.692	248.976	18.15
1665.743	250.049	21.038
1665.794	251.096	20.534
1665.842	252.182	22.617
1665.887	253.203	22.684
1665.929	254.289	25.866
1665.968	255.303	26.003
1666.007	256.359	27.067
1666.046	257.415	27.065
1666.085	258.522	28.397
1666.121	259.523	27.803
1666.157	260.584	29.464
1666.193	261.696	30.903
1666.226	262.729	31.306
1666.259	263.809	32.735
1666.289	264.874	35.481
1666.317	265.944	38.212
1666.344	266.953	37.383
1666.371	268.003	38.888
1666.401	269.204	40.029
1666.425	270.232	42.837
1666.449	271.268	43.156
1666.476	272.32	38.983
1666.497	273.365	49.76
1666.524	274.4	38.327
1666.548	275.502	45.92
1666.569	276.542	49.5
1666.593	277.571	42.9
1666.614	278.636	50.683
1666.635	279.721	51.665
1666.656	280.726	47.88
1666.674	281.821	60.83
1666.692	282.887	59.218
1666.707	283.903	67.766
1666.728	284.961	50.342
1666.743	286.181	81.338
1666.752	287.19	112.12
1666.764	288.589	116.612
1666.773	291.046	272.965
1666.779	292.994	324.686
1666.782	295.361	789.06
1666.785	296.754	464.375
1666.788	298.147	464.375
1666.791	300.926	926.277
1666.794	302.312	461.903
1666.797	303.698	461.903
1666.8	305.083	461.903
1666.803	306.546	487.392
1666.806	308.008	487.392
1666.809	309.47	487.392
1666.812	312.679	1069.663
1666.815	314.426	582.271
1666.818	316.172	582.271
1666.821	320.072	1299.99
1666.824	322.226	717.72
1666.827	324.379	717.72
1666.83	328.884	1501.897
1666.833	331.237	784.178
1666.836	333.59	784.178
1666.839	335.942	784.178
1666.842	338.469	842.303
1666.845	340.996	842.303
1666.848	343.523	842.303
1666.851	347.707	1394.878
1666.854	349.365	552.574
1666.857	351.023	552.574
1666.86	353.448	808.288
1666.866	354.982	255.714
1666.869	356.457	491.83
1666.875	357.874	236.116
1666.882	359.126	178.9
1666.888	360.214	181.318
1666.891	361.215	333.533
1666.9	362.959	193.745
1666.909	364.382	158.113
1666.921	365.536	96.206
1666.933	366.731	99.563
1666.945	367.902	97.57
1666.96	369.386	98.964
1666.972	370.616	102.466
1666.984	371.865	104.087
1666.996	372.897	86.001
1667.005	373.929	114.67
1667.014	375.105	130.675
1667.023	376.362	139.649
1667.032	377.374	112.473
1667.038	378.469	182.55
1667.047	380.07	177.838
1667.056	381.616	171.731
1667.065	382.646	114.534
1667.074	383.839	132.553
1667.08	385.054	202.426
1667.086	386.282	204.644
1667.095	387.919	181.869
1667.104	389.13	134.638
1667.113	390.255	124.967
1667.119	391.339	180.629
1667.125	392.38	173.536
1667.134	393.684	144.944
1667.146	394.888	100.334
1667.155	396.005	124.053
1667.164	397.089	120.489
1667.176	398.168	89.919
1667.185	399.251	120.26
1667.194	400.309	117.536
1667.203	401.314	111.732
1667.218	402.49	78.36
1667.23	403.594	92.036
1667.242	404.801	100.597
1667.26	405.812	56.184
1667.275	406.915	73.52
1667.293	407.952	57.594
1667.311	408.998	58.112
1667.335	410.051	43.863
1667.365	411.116	35.496
1667.408	412.129	23.56
1667.678	413.219	4.04
1667.696	414.304	60.285
1667.72	415.397	45.533
1667.744	416.438	43.373
1667.768	417.457	42.471
1667.804	418.502	29.006
1667.84	419.507	27.915
1667.961	420.526	8.423
1668.096	421.528	7.42
1668.213	422.586	9.049
1668.279	423.605	15.438
1668.321	424.685	25.718
1668.375	425.732	19.381
1668.438	426.763	16.366
1668.541	427.802	10.084
1668.586	428.806	22.307
