time / min	temperature / °C	temperature rate / ( °C/min)
389.415	90.458	0.024
468.816	91.46	0.013
546.629	100.527	0.032
580.073	101.528	0.03
618.057	102.528	0.026
661.027	103.53	0.023
710.633	104.53	0.02
769.332	105.532	0.017
842.402	106.533	0.014
887.264	110.415	0.026
923.037	111.415	0.028
957.598	112.418	0.029
990.35	113.419	0.031
1021.111	114.419	0.033
1049.37	115.42	0.035
1075.005	116.42	0.039
1098.2	117.42	0.043
1167	120.094	0.019
1192.286	121.097	0.04
1208.573	122.097	0.061
1219.923	123.097	0.088
1229.391	124.102	0.106
1237.263	125.105	0.127
1244.124	126.107	0.146
1250.206	127.108	0.165
1255.584	128.109	0.186
1260.423	129.111	0.207
1264.752	130.112	0.231
1268.773	131.113	0.249
1272.386	132.115	0.277
1275.712	133.116	0.301
1278.744	134.12	0.331
1281.557	135.124	0.357
1284.176	136.124	0.382
1286.625	137.129	0.41
1288.899	138.129	0.44
1291.02	139.135	0.474
1292.988	140.136	0.508
1294.839	141.138	0.542
1296.599	142.14	0.569
1298.242	143.142	0.61
1299.764	144.143	0.658
1301.149	145.147	0.725
1302.361	146.154	0.831
1303.42	147.156	0.946
1304.322	148.165	1.118
1305.152	149.169	1.21
1305.89	150.171	1.358
1306.557	151.175	1.506
1307.201	152.183	1.564
1307.779	153.185	1.735
1308.314	154.192	1.881
1308.805	155.193	2.04
1309.256	156.195	2.22
1309.675	157.196	2.389
1310.048	158.204	2.704
1310.409	159.207	2.779
1310.73	160.214	3.136
1311.025	161.214	3.392
1311.302	162.217	3.619
1311.558	163.225	3.938
1311.792	164.234	4.311
1312.009	165.261	4.736
1312.21	166.273	5.034
1312.385	167.282	5.766
1312.55	168.283	6.066
1312.703	169.29	6.577
1312.842	170.33	7.484
1312.971	171.336	7.798
1313.092	172.353	8.41
1313.206	173.383	9.034
1313.308	174.388	9.851
1313.402	175.391	10.666
1313.489	176.419	11.824
1313.573	177.425	11.97
1313.648	178.434	13.461
1313.717	179.455	14.785
1313.783	180.48	15.535
1313.846	181.485	15.948
1313.9	182.486	18.539
1313.957	183.534	18.387
1314.005	184.574	21.667
1314.048	185.634	24.655
1314.087	186.647	25.964
1314.126	187.699	26.991
1314.159	188.765	32.3
1314.177	190.487	95.678
1314.18	191.72	410.863
1314.183	192.953	410.863
1314.186	194.185	410.863
1314.216	232.068	1262.752
1314.219	269.95	12627.523
1314.222	307.833	12627.523
1314.225	350.071	14079.319
1314.228	354.426	1451.796
1314.231	358.782	1451.796
1314.234	366.724	2647.55
1314.237	370.311	1195.754
1314.24	373.899	1195.754
1314.243	377.486	1195.754
1314.246	379.805	772.982
