time / min	temperature / °C	temperature rate / ( °C/min)
408.389	94.991	0.027
556.143	105.057	0.036
583.675	106.059	0.036
614.229	107.064	0.033
648.272	108.065	0.029
684.934	109.065	0.027
724.636	110.065	0.025
766.553	111.067	0.024
810.268	112.068	0.023
853.959	113.069	0.023
895.776	114.069	0.024
934.946	115.07	0.026
970.936	116.071	0.028
1002.896	117.071	0.031
1030.519	118.075	0.036
1054.578	119.076	0.042
1075.077	120.077	0.049
1092.924	121.081	0.056
1108.412	122.081	0.065
1122.018	123.088	0.074
1134.01	124.092	0.084
1144.677	125.094	0.094
1154.103	126.094	0.106
1162.582	127.095	0.118
1170.137	128.095	0.132
1176.968	129.096	0.146
1183.182	130.096	0.161
1188.792	131.099	0.179
1223.443	139.058	0.445
1225.622	140.059	0.459
1227.527	141.063	0.527
1229.29	142.066	0.569
1230.874	143.073	0.636
1232.32	144.073	0.692
1233.648	145.074	0.754
1234.869	146.078	0.822
1236.049	147.085	0.853
1237.085	148.089	0.969
1237.968	149.092	1.136
1238.736	150.097	1.308
1239.428	151.099	1.448
1240.057	152.106	1.601
1240.64	153.11	1.721
1241.173	154.112	1.88
1241.676	155.113	1.991
1242.136	156.117	2.182
1242.567	157.118	2.323
1242.967	158.133	2.536
1243.34	159.144	2.711
1243.683	160.145	2.917
1244.008	161.155	3.109
1244.306	162.155	3.357
1244.581	163.159	3.651
1244.836	164.165	3.946
1245.077	165.166	4.153
1245.3	166.174	4.519
1245.505	167.176	4.886
1245.701	168.185	5.152
1245.882	169.199	5.597
1246.047	170.199	6.063
1246.201	171.219	6.62
1246.346	172.234	7.001
1246.478	173.263	7.795
1246.604	174.286	8.12
1246.722	175.316	8.731
1246.83	176.339	9.472
1246.932	177.352	9.93
1247.026	178.364	10.765
1247.116	179.416	11.689
1247.194	180.423	12.913
1247.272	181.456	13.248
1247.344	182.483	14.261
1247.411	183.512	15.358
1247.471	184.53	16.96
1247.528	185.544	17.793
1247.583	186.579	18.813
1247.634	187.677	21.533
1247.682	188.73	21.943
1247.727	189.78	23.34
1247.766	190.792	25.934
1247.802	191.809	28.263
1247.836	192.824	29.845
1247.869	193.935	33.677
1247.899	194.957	34.071
1247.93	196.076	36.08
1247.957	197.167	40.4
1247.981	198.267	45.848
1248.005	199.333	44.426
1248.023	200.351	56.546
1248.044	201.475	53.528
1248.053	202.542	118.573
1248.116	271.403	1093.027
1248.119	339.956	22851.163
1248.122	408.51	22851.163
1248.125	477.788	23092.662
1248.131	479.237	241.499
1248.134	480.787	516.664
1248.14	482.438	275.165
1248.143	484.169	576.891
