time / min	temperature / °C	temperature rate / ( °C/min)
493.97	100.493	0.026
556.529	101.496	0.016
656.029	110.744	0.048
676.795	111.745	0.048
697.192	112.749	0.049
717.192	113.75	0.05
736.403	114.751	0.052
754.641	115.753	0.055
771.902	116.753	0.058
787.748	117.754	0.063
802.887	118.756	0.066
816.695	119.758	0.073
829.509	120.759	0.078
841.324	121.759	0.085
851.991	122.76	0.094
862.176	123.761	0.098
871.437	124.761	0.108
880.003	125.761	0.117
888.119	126.763	0.123
895.789	127.764	0.13
902.896	128.766	0.141
909.587	129.768	0.15
915.85	130.768	0.16
921.727	131.769	0.17
963.468	137.851	0.3
966.607	138.852	0.319
969.326	139.852	0.368
971.712	140.86	0.423
973.853	141.863	0.468
975.762	142.868	0.526
977.504	143.868	0.574
979.089	144.871	0.632
980.577	145.873	0.673
981.895	146.874	0.759
983.02	147.877	0.892
984.006	148.878	1.015
984.903	149.879	1.116
985.715	150.88	1.234
986.482	151.883	1.308
987.209	152.888	1.382
987.88	153.895	1.5
988.521	154.896	1.562
989.104	155.9	1.722
989.67	156.905	1.776
990.196	157.91	1.91
990.695	158.921	2.026
991.155	159.926	2.186
991.603	160.931	2.243
992.018	161.932	2.411
992.412	162.932	2.539
992.782	163.944	2.735
993.142	164.951	2.797
993.482	165.954	2.95
993.792	166.965	3.261
994.098	167.966	3.272
994.364	168.968	3.768
994.634	169.979	3.744
994.89	170.991	3.952
995.128	172	4.24
995.348	173.009	4.585
995.552	174.012	4.917
995.744	175.026	5.28
995.931	176.054	5.5
996.106	177.071	5.81
996.271	178.082	6.124
996.427	179.103	6.546
996.577	180.122	6.793
996.719	181.122	7.046
996.855	182.141	7.49
996.984	183.154	7.853
997.107	184.18	8.344
997.224	185.21	8.802
997.333	186.214	9.208
997.435	187.232	9.982
997.535	188.234	10.019
997.628	189.262	11.056
997.715	190.28	11.698
997.796	191.292	12.499
997.874	192.316	13.127
997.949	193.366	13.996
998.019	194.413	14.968
998.085	195.433	15.453
998.142	196.46	18.02
998.196	197.496	19.178
998.244	198.502	20.964
998.289	199.525	22.721
998.328	200.561	26.566
998.364	201.612	29.205
998.4	202.743	31.403
998.421	203.789	49.814
998.43	205.064	141.721
998.488	244.696	683.312
998.491	284.328	13210.708
998.494	323.961	13210.708
998.497	363.593	13210.708
998.5	365.701	702.708
998.503	367.809	702.708
998.506	369.917	702.708
998.509	374.671	1584.507
998.512	377.316	881.799
998.515	379.961	881.799
998.518	385.839	1959.187
