time / min	temperature / °C	temperature rate / ( °C/min)
372.934	90.425	0.023
412.223	91.425	0.025
447.612	92.426	0.028
479.693	93.429	0.031
508.844	94.43	0.034
535.803	95.432	0.037
560.366	96.432	0.041
582.825	97.436	0.045
603.568	98.437	0.048
622.48	99.443	0.053
639.854	100.443	0.058
655.45	101.443	0.064
669.97	102.444	0.069
683.147	103.445	0.076
695.127	104.446	0.084
706.03	105.447	0.092
716.063	106.447	0.1
725.223	107.448	0.109
733.409	108.448	0.122
741.021	109.451	0.132
747.888	110.455	0.146
754.176	111.458	0.159
759.85	112.459	0.176
765.069	113.461	0.192
769.853	114.462	0.209
774.144	115.462	0.233
778.045	116.463	0.257
781.648	117.467	0.279
784.935	118.468	0.305
787.892	119.469	0.338
790.648	120.47	0.364
793.136	121.471	0.402
795.414	122.472	0.439
797.523	123.474	0.475
799.461	124.476	0.517
801.258	125.48	0.558
802.899	126.484	0.612
829.204	141.475	0.931
830.193	142.476	1.012
831.161	143.476	1.033
832.083	144.479	1.088
832.964	145.479	1.135
833.805	146.486	1.197
834.593	147.487	1.271
835.287	148.489	1.443
835.891	149.499	1.672
836.41	150.501	1.931
836.867	151.503	2.192
837.279	152.51	2.444
837.639	153.512	2.782
837.976	154.514	2.975
838.273	155.516	3.373
838.544	156.524	3.72
838.793	157.526	4.023
839.025	158.532	4.337
839.244	159.539	4.597
839.448	160.551	4.96
839.644	161.556	5.128
839.827	162.566	5.521
839.992	163.58	6.145
840.152	164.585	6.28
840.302	165.59	6.702
840.446	166.596	6.987
840.587	167.626	7.299
840.72	168.647	7.677
840.837	169.649	8.568
840.951	170.687	9.102
841.062	171.71	9.217
841.168	172.727	9.6
841.261	173.74	10.889
841.351	174.741	11.121
841.432	175.742	12.354
841.51	176.75	12.924
841.588	177.79	13.342
841.66	178.808	14.131
841.726	179.829	15.473
841.786	180.862	17.214
841.847	181.881	16.712
841.901	182.934	19.503
841.955	183.966	19.112
842	184.989	22.718
842.045	186.021	22.946
842.087	187.144	26.732
842.126	188.207	27.245
842.165	189.351	29.357
842.198	190.368	30.803
842.228	191.371	33.449
842.258	192.424	35.075
842.285	193.464	38.532
842.309	194.492	42.815
842.333	195.614	46.744
842.355	196.719	50.258
842.376	197.812	52.06
842.382	199.061	208.061
842.388	200.994	322.2
842.421	243.441	1286.259
842.424	284.92	13826.644
842.427	326.4	13826.644
842.43	367.88	13826.644
842.433	376.342	2820.387
842.436	384.803	2820.387
842.439	393.264	2820.387
842.442	408.257	4997.85
842.445	414.79	2177.463
842.448	421.322	2177.463
